,Player,Game,Games Started,Minutes Played,Field Goals,Field Goals Attempted,Three Point Field Goals,Three Pointers Attempted,Two Point Field Goals,Two Pointers Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
1394,Scottie Lewis,2,0,7,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,1
1395,Scotty Hopson,4,0,33,2,9,0,3,2,6,2,4,0,1,1,3,1,0,3,1,6
1396,Scotty Pippen Jr.,6,0,32,4,12,1,3,3,9,5,9,2,2,4,2,2,1,2,3,14
1397,Sean Kilpatrick,240,26,4338,778,1883,279,837,499,1046,456,524,57,515,572,311,98,20,275,261,2291
1398,Sean Marks,43,0,283,23,52,2,2,21,50,7,13,30,33,63,6,3,8,13,61,55
1399,Sean May,37,4,331,51,111,0,4,51,107,21,32,20,50,70,17,12,7,19,46,123
1400,Sean McDermott,18,0,158,13,33,5,22,8,11,8,8,6,13,19,4,2,3,4,8,39
1401,Sean Williams,42,0,441,49,93,0,1,49,92,34,45,47,49,96,11,16,35,40,77,132
1402,Sebastian Telfair,317,16,5211,674,1728,211,655,463,1073,287,373,75,358,433,852,198,47,378,563,1846
1403,Sekou Doumbouya,96,30,1639,204,526,55,215,149,311,79,114,61,206,267,66,47,19,81,175,542
1404,Semaj Christon,64,1,973,77,223,12,63,65,160,17,31,19,68,87,130,28,7,43,79,183
1405,Semi Ojeleye,314,24,4517,361,961,204,599,157,362,147,202,172,515,687,135,83,25,102,330,1073
1406,Semih Erden,110,25,1523,163,296,0,0,163,296,99,161,94,214,308,49,40,53,84,268,425
1407,Serge Ibaka,1052,788,28426,5194,10194,775,2125,4419,8069,1403,1838,2085,5216,7301,873,425,1916,1335,2797,12566
1408,Sergey Karasev,95,22,1110,96,243,31,110,65,133,64,76,30,110,140,87,32,4,57,94,287
1409,Sergio Rodríguez,200,46,3614,544,1238,156,434,388,804,154,213,69,266,335,768,149,14,356,263,1398
1410,Seth Curry,504,270,12848,2124,4454,983,2268,1141,2186,538,623,153,991,1144,1161,365,74,585,867,5769
1411,Shabazz Muhammad,321,18,5190,1024,2176,130,413,894,1763,540,717,317,529,846,165,90,27,189,313,2718
1412,Shabazz Napier,401,88,7330,996,2490,421,1240,575,1250,598,732,130,685,815,1111,355,59,580,505,3011
1413,Shaedon Sharpe,80,15,1779,306,648,102,283,204,365,75,105,63,173,236,94,38,24,83,136,789
1414,Shai Gilgeous-Alexander,311,302,10140,2287,4729,356,1025,1931,3704,1626,1925,219,1198,1417,1411,385,226,727,696,6556
1415,Shake Milton,254,45,5280,882,1937,242,663,640,1274,362,437,126,478,604,694,120,63,294,473,2368
