,overall,team.name,team.market,team.alias,prospect.first_name,prospect.last_name,prospect.name,prospect.position,prospect.height,prospect.weight,prospect.experience,prospect.team_name
72,13,Pelicans,New Orleans,NOP,Kira,Lewis,Kira Lewis Jr.,G,75,165,SO,NONE
73,14,Celtics,Boston,BOS,Aaron,Nesmith,Aaron Nesmith,F,78,213,SO,Vanderbilt
74,15,Magic,Orlando,ORL,Cole,Anthony,Cole Anthony,F,75,190,FR,North Carolina
75,16,Trail Blazers,Portland,POR,Isaiah,Stewart,Isaiah Stewart,F,81,250,FR,NONE
76,17,Timberwolves,Minnesota,MIN,Aleksej,Pokuševski,Aleksej Pokusevski,F,82,195,NONE,Olympiacos B.C.
77,18,Mavericks,Dallas,DAL,Josh,Green,Josh Green,G,78,210,FR,NONE
78,19,Nets,Brooklyn,BKN,Saddiq,Bey,Saddiq Bey,F,80,216,SO,Villanova
79,20,Heat,Miami,MIA,Precious,Achiuwa,Precious Achiuwa,F,81,225,FR,Memphis
80,21,76ers,Philadelphia,PHI,Tyrese,Maxey,Tyrese Maxey,G,75,198,FR,Kentucky
81,22,Nuggets,Denver,DEN,Zeke,Nnaji,Zeke Nnaji,F,83,240,FR,NONE
82,23,Knicks,New York,NYK,Leandro,Bolmaro,Leandro Bolmaro,F,79,182,NONE,FC Barcelona
83,24,Bucks,Milwaukee,MIL,R.J.,Hampton,R.J. Hampton,G,77,185,NONE,New Zealand Breakers
84,25,Thunder,Oklahoma City,OKC,Immanuel,Quickley,Immanuel Quickley,G,75,188,SO,NONE
85,26,Celtics,Boston,BOS,Payton,Pritchard,Payton Pritchard,G,74,190,SR,NONE
86,27,Jazz,Utah,UTA,Udoka,Azubuike,Udoka Azubuike,C,84,280,SR,NONE
87,28,Lakers,Los Angeles,LAL,Jaden,McDaniels,Jaden McDaniels,F,81,200,FR,NONE
88,29,Raptors,Toronto,TOR,Malachi,Flynn,Malachi Flynn,G,73,180,JR,NONE
89,30,Celtics,Boston,BOS,Desmond,Bane,Desmond Bane,G,78,215,SR,NONE
90,31,Mavericks,Dallas,DAL,Tyrell,Terry,Tyrell Terry,G,73,160,FR,NONE
91,32,Hornets,Charlotte,CHA,Vernon,Carey,Vernon Carey Jr.,C,82,270,FR,NONE
92,33,Timberwolves,Minnesota,MIN,Daniel,Oturu,Daniel Oturu,C,82,240,SO,NONE
93,34,76ers,Philadelphia,PHI,Theo,Maledon,Theo Maledon,G,76,176,NONE,ASVEL
94,35,Kings,Sacramento,SAC,Xavier,Tillman,Xavier Tillman Sr.,F,80,245,JR,NONE
95,36,76ers,Philadelphia,PHI,Tyler,Bey,Tyler Bey,G-F,79,218,JR,NONE
96,37,Wizards,Washington,WAS,Vit,Krejci,Vit Krejci,G,80,195,NONE,Casademont Zaragoza
97,38,Jazz,Utah,UTA,Saben,Lee,Saben Lee,G,74,183,JR,NONE
98,39,Pelicans,New Orleans,NOP,Elijah,Hughes,Elijah Hughes,F,78,210,JR,NONE
99,40,Grizzlies,Memphis,MEM,Robert,Woodard,Robert Woodard II,G,79,235,SO,NONE
100,41,Spurs,San Antonio,SAS,Tre,Jones,Tre Jones,G,75,185,SO,NONE
101,42,Pelicans,New Orleans,NOP,Nick,Richards,Nick Richards,F,83,247,JR,NONE
102,43,Kings,Sacramento,SAC,Jahmi'us,Ramsey,Jahmi'us Ramsey,G,76,195,FR,NONE
103,44,Bulls,Chicago,CHI,Marko,Simonovic,Marko Simonovic,C,83,220,NONE,KK Mega Bemax
104,45,Bucks,Milwaukee,MIL,Jordan,Nwora,Jordan Nwora,F,79,225,JR,NONE
105,46,Trail Blazers,Portland,POR,CJ,Elleby,CJ Elleby,F,78,300,SO,NONE
106,47,Celtics,Boston,BOS,Yam,Madar,Yam Madar,G,75,180,NONE, Hapoel Tel Aviv
107,48,Warriors,Golden State,GSW,Nico,Mannion,Nico Mannion,G,75,190,FR,NONE
108,49,76ers,Philadelphia,PHI,Isaiah,Joe,Isaiah Joe,G,77,167,SO,NONE
109,50,Hawks,Atlanta,ATL,Skylar,Mays,Skylar Mays,G,76,205,SR,NONE
110,51,Warriors,Golden State,GSW,Justinian,Jessup,Justinian Jessup,G,78,202,SR,NONE
111,52,Kings,Sacramento,SAC,Kenyon,Martin,Kenyon Martin Jr.,F,78,215,NONE,IMG Academy
112,53,Thunder,Oklahoma City,OKC,Cassius,Winston,Cassius Winston,G,73,185,SR,NONE
113,54,Pacers,Indiana,IND,Cassius,Stanley,Cassius Stanley,G,78,193,FR,NONE
114,55,Nets,Brooklyn,BKN,Jay,Scrubb,Jay Scrubb,G,78,220,SO,John A. Logan College
115,56,Hornets,Charlotte,CHA,Grant,Riller,Grant Riller,G,75,190,SR,NONE
116,57,Clippers,Los Angeles,LAC,Reggie,Perry,Reggie Perry,F,82,250,SO,NONE
117,58,76ers,Philadelphia,PHI,Paul,Reed,Paul Reed,F,81,220,JR,NONE
118,59,Raptors,Toronto,TOR,Jalen,Harris,Jalen Harris,G,77,195,JR,NONE
119,60,Pelicans,New Orleans,NOP,Sam,Merrill,Sam Merrill,G,77,205,SR,NONE
120,1,Pistons,Detroit,DET,Cade,Cunningham,Cade Cunningham,G,80,220,FR,Oklahoma State
121,2,Rockets,Houston,HOU,Jalen,Green,Jalen Green,G,78,178,NONE,G League Ignite
122,3,Cavaliers,Cleveland,CLE,Evan,Mobley,Evan Mobley,C,84,215,FR,USC
123,4,Raptors,Toronto,TOR,Scottie,Barnes,Scottie Barnes,F,80,225,FR,Florida State
124,5,Magic,Orlando,ORL,Jalen,Suggs,Jalen Suggs,G,76,205,FR,Gonzaga
125,6,Thunder,Oklahoma City,OKC,Josh,Giddey,Josh Giddey,G,80,200,NONE,Adelaide
126,7,Warriors,Golden State,GSW,Jonathan,Kuminga,Jonathan Kuminga,F,78,210,NONE,G League Ignite
127,8,Magic,Orlando,ORL,Franz,Wagner,Franz Wagner,G,81,220,SO,Michigan
128,9,Kings,Sacramento,SAC,Davion,Mitchell,Davion Mitchell,G,73,202,JR,Baylor
129,10,Grizzlies,Memphis,MEM,Ziaire,Williams,Ziaire Williams,F,80,185,FR,Stanford
130,11,Hornets,Charlotte,CHA,James,Bouknight,James Bouknight,G,77,190,SO,Connecticut
131,12,Spurs,San Antonio,SAS,Joshua,Primo,Joshua Primo,G,78,190,FR,Alabama
132,13,Pacers,Indiana,IND,Chris,Duarte,Chris Duarte,G,78,190,SR,Oregon
133,14,Warriors,Golden State,GSW,Moses,Moody,Moses Moody,G,77,211,FR,Arkansas
134,15,Wizards,Washington,WAS,Corey,Kispert,Corey Kispert,F,79,223,SR,Gonzaga
135,16,Rockets,Houston,HOU,Alperen,Sengun,Alperen Sengun,C,81,240,NONE,Besiktas
136,17,Pelicans,New Orleans,NOP,Trey,Murphy,Trey Murphy III,G,81,205,JR,Virginia
137,18,Thunder,Oklahoma City,OKC,Tre,Mann,Tre Mann,G,77,190,SO,NONE
138,19,Hornets,Charlotte,CHA,Kai,Jones,Kai Jones,F,82,221,SO,Texas
139,20,Hawks,Atlanta,ATL,Jalen,Johnson,Jalen Johnson,F,81,210,FR,Duke
140,21,Clippers,LA,LAC,Keon,Johnson,Keon Johnson,G,76,184,FR,Tennessee
141,22,Pacers,Indiana,IND,Isaiah,Jackson,Isaiah Jackson,F,82,205,FR,Kentucky
142,23,Rockets,Houston,HOU,Usman,Garuba,Usman Garuba,F,80,229,NONE,Real Madrid
143,24,Rockets,Houston,HOU,Josh,Christopher,Josh Christopher,G,77,215,FR,NONE
144,25,Knicks,New York,NYK,Quentin,Grimes,Quentin Grimes,G,77,205,JR,NONE
145,26,Nuggets,Denver,DEN,Nah'Shon,Hyland,Nah'Shon Hyland,G,75,173,SO,Virginia Commonwealth
146,27,Nets,Brooklyn,BKN,Cameron,Thomas,Cameron Thomas,G,76,210,FR,NONE
147,28,76ers,Philadelphia,PHI,Jaden,Springer,Jaden Springer,G,76,205,FR,Tennessee
148,29,Nets,Brooklyn,BKN,Day'Ron,Sharpe,Day'Ron Sharpe,C,83,265,FR,North Carolina
149,30,Grizzlies,Memphis,MEM,Santi,Aldama,Santi Aldama,F,83,224,SO,Loyola (MD)
150,31,Mavericks,Dallas,DAL,Tyrell,Terry,Tyrell Terry,G,73,160,FR,NONE
151,32,Hornets,Charlotte,CHA,Vernon,Carey,Vernon Carey Jr.,C,82,270,FR,NONE
152,33,Timberwolves,Minnesota,MIN,Daniel,Oturu,Daniel Oturu,C,82,240,SO,NONE
153,34,76ers,Philadelphia,PHI,Theo,Maledon,Theo Maledon,G,76,176,NONE,ASVEL
154,35,Kings,Sacramento,SAC,Xavier,Tillman,Xavier Tillman Sr.,F,80,245,JR,NONE
155,36,76ers,Philadelphia,PHI,Tyler,Bey,Tyler Bey,G-F,79,218,JR,NONE
156,37,Wizards,Washington,WAS,Vit,Krejci,Vit Krejci,G,80,195,NONE,Casademont Zaragoza
157,38,Jazz,Utah,UTA,Saben,Lee,Saben Lee,G,74,183,JR,NONE
158,39,Pelicans,New Orleans,NOP,Elijah,Hughes,Elijah Hughes,F,78,210,JR,NONE
159,40,Grizzlies,Memphis,MEM,Robert,Woodard,Robert Woodard II,G,79,235,SO,NONE
160,41,Spurs,San Antonio,SAS,Tre,Jones,Tre Jones,G,75,185,SO,NONE
161,42,Pelicans,New Orleans,NOP,Nick,Richards,Nick Richards,F,83,247,JR,NONE
162,43,Kings,Sacramento,SAC,Jahmi'us,Ramsey,Jahmi'us Ramsey,G,76,195,FR,NONE
163,44,Bulls,Chicago,CHI,Marko,Simonovic,Marko Simonovic,C,83,220,NONE,KK Mega Bemax
164,45,Bucks,Milwaukee,MIL,Jordan,Nwora,Jordan Nwora,F,79,225,JR,NONE
165,46,Trail Blazers,Portland,POR,CJ,Elleby,CJ Elleby,F,78,300,SO,NONE
166,47,Celtics,Boston,BOS,Yam,Madar,Yam Madar,G,75,180,NONE, Hapoel Tel Aviv
167,48,Warriors,Golden State,GSW,Nico,Mannion,Nico Mannion,G,75,190,FR,NONE
168,49,76ers,Philadelphia,PHI,Isaiah,Joe,Isaiah Joe,G,77,167,SO,NONE
169,50,Hawks,Atlanta,ATL,Skylar,Mays,Skylar Mays,G,76,205,SR,NONE
170,51,Warriors,Golden State,GSW,Justinian,Jessup,Justinian Jessup,G,78,202,SR,NONE
171,52,Kings,Sacramento,SAC,Kenyon,Martin,Kenyon Martin Jr.,F,78,215,NONE,IMG Academy
172,53,Thunder,Oklahoma City,OKC,Cassius,Winston,Cassius Winston,G,73,185,SR,NONE
173,54,Pacers,Indiana,IND,Cassius,Stanley,Cassius Stanley,G,78,193,FR,NONE
174,55,Nets,Brooklyn,BKN,Jay,Scrubb,Jay Scrubb,G,78,220,SO,John A. Logan College
175,56,Hornets,Charlotte,CHA,Grant,Riller,Grant Riller,G,75,190,SR,NONE
176,57,Clippers,Los Angeles,LAC,Reggie,Perry,Reggie Perry,F,82,250,SO,NONE
177,58,76ers,Philadelphia,PHI,Paul,Reed,Paul Reed,F,81,220,JR,NONE
178,59,Raptors,Toronto,TOR,Jalen,Harris,Jalen Harris,G,77,195,JR,NONE
179,60,Pelicans,New Orleans,NOP,Sam,Merrill,Sam Merrill,G,77,205,SR,NONE
180,1,Magic,Orlando,ORL,Paolo,Banchero,Paolo Banchero,F,82,250,FR,Duke
181,2,Thunder,Oklahoma City,OKC,Chet,Holmgren,Chet Holmgren,F,84,195,FR,Gonzaga
182,3,Rockets,Houston,HOU,Jabari,Smith,Jabari Smith,F,82,220,FR,Auburn
